industry,name,rank,founded,country
Real Estate,CBRE,488,1906 (117 yrs old),Switzerland
Software Product,Bosch Global Software Technologies,486,1990 (33 yrs old),Japan
Internet,Indiamart Intermesh,487,1996 (27 yrs old),India
FMCG,Godrej & Boyce Manufacturing,490,1897 (126 yrs old),USA
Industrial Automation,Schneider Electric,485,1999 (24 yrs old),Spain
Automobile,Royal Enfield,484,1901 (122 yrs old),USA
IT Services & Consulting,UST,481,2001 (22 yrs old),Japan
Other,Ford Motor,479,1903 (120 yrs old),Hong Kong
Logistics,Ecom Express,483,2012 (11 yrs old),Canada
Auto Components,JBM Group,482,1983 (40 yrs old),South Korea
Banking,Equitas Small Finance Bank,480,2007 (16 yrs old),China
Banking,State Bank of India,478,1806 (217 yrs old),China
Consumer Electronics & Appliances,Dell,503,1984 (39 yrs old),China
Insurance,ICICI Lombard General Insurance Company,477,2001 (22 yrs old),USA
EdTech,Whitehat jr,598,2018 (5 yrs old),Netherlands
Engineering & Construction,Nagarjuna Construction Company,600,1998 (25 yrs old),Canada
Healthcare,UnitedHealth,599,1977 (46 yrs old),USA
Automobile,Bajaj Auto,597,1945 (78 yrs old),USA
NBFC,Muthoot Finance,596,1939 (84 yrs old),Japan
Telecom,Tata Communications,594,1986 (37 yrs old),Ireland
NBFC,Muthoot Fincorp,595,1887 (136 yrs old),Germany
IT Services & Consulting,John Deere,593,2001 (22 yrs old),USA
IT Services & Consulting,GlobalLogic,592,2000 (23 yrs old),Switzerland
Hospitality,Dominos Pizza,591,1960 (63 yrs old),USA
NBFC,Cholamandalam Investment & Finance,586,1978 (45 yrs old),France
FMCG,Wipro Consumer Care & Lighting,590,1945 (78 yrs old),Canada
NBFC,L&T Financial Services,589,1994 (29 yrs old),USA
Insurance,SBI Life Insurance Company,588,2001 (22 yrs old),Canada
,Capgemini Technology Services India Limited,587,,Germany
IT Services & Consulting,Virtusa Consulting Services,585,1996 (27 yrs old),USA
Financial Services,Axis Direct,583,2011 (12 yrs old),China
Real Estate,KEC International,580,1945 (78 yrs old),USA
Pharma,Hetero Drugs,578,1993 (30 yrs old),USA
Consumer Electronics & Appliances,LG Electronics,581,1958 (65 yrs old),Hong Kong
IT Services & Consulting,Wipro Infotech,582,1945 (78 yrs old),USA
Auto Components,Motherson Sumi Systems,584,1986 (37 yrs old),Canada
Facility Management Services,Sodexo,579,2008 (15 yrs old),Brazil
Internet,Swiggy,577,2014 (9 yrs old),UK
Industrial Machinery,Thermax,576,1980 (43 yrs old),USA
Healthcare,Optum,605,1977 (46 yrs old),China
Pharma,Abbott Healthcare,700,1991 (32 yrs old),Germany
Pharma,Intas Pharmaceuticals,698,2000 (23 yrs old),USA
Pharma,Macleods Pharmaceuticals,699,1986 (37 yrs old),UK
Auto Components,Subros,697,1985 (38 yrs old),Sweden
IT Services & Consulting,Automatic Data Processing (ADP),696,1949 (74 yrs old),USA
Automobile,VE Commercial Vehicles,695,2008 (15 yrs old),USA
Beverage,Varun Beverages,694,1995 (28 yrs old),France
Beverage,Hindustan Coca Cola Beverages,691,1997 (26 yrs old),Japan
NBFC,Piramal Capital Housing Finance,689,2020 (3 yrs old),USA
IT Services & Consulting,L&T Technology Services,687,2012 (11 yrs old),Belgium
Consumer Electronics & Appliances,Bel,692,1954 (69 yrs old),USA
,Randstad,693,1992 (31 yrs old),USA
Chemicals / Agri Inputs,Pidilite Industries,690,1959 (64 yrs old),Saudi Arabia
IT Services & Consulting,CMS IT Services,686,2014 (9 yrs old),Germany
Defence & Aerospace,Indian Air Force,688,1932 (91 yrs old),USA
Internet,CARS24,685,2015 (8 yrs old),USA
IT Services & Consulting,Cgi Group,684,1976 (47 yrs old),USA
Financial Services,American Express,683,1850 (173 yrs old),Japan
Pharma,Alembic Pharmaceuticals,680,1907 (116 yrs old),Taiwan
Banking,NatWest Group,681,,USA
Pharma,Alkem Laboratories,679,1973 (50 yrs old),Sweden
Logistics,Gati kwe,682,2012 (11 yrs old),India
Electrical Equipment,Havells,677,1983 (40 yrs old),Germany
Pharma,Glenmark Pharmaceuticals,678,1977 (46 yrs old),USA
Electrical Equipment,ABB Group,712,2001 (22 yrs old),USA
Banking,Deutsche Bank,800,1870 (153 yrs old),USA
Retail,Shoppers Stop,799,1991 (32 yrs old),USA
Engineering & Construction,Simplex Infrastructures,798,1924 (99 yrs old),China
Pharma,Ipca Laboratories,797,1949 (74 yrs old),USA
Automobile,Honda Motorcycle & Scooter,795,1999 (24 yrs old),China
IT Services & Consulting,Atos,796,1997 (26 yrs old),China
Logistics,DTDC Express,794,1990 (33 yrs old),UK
Banking,DCB Bank,793,1930 (93 yrs old),Japan
Insurance,Reliance Nippon Life Insurance,792,2000 (23 yrs old),Japan
Fashion & Textile,Arvind Group,791,1931 (92 yrs old),China
Metals & Mining,Hindalco Industries,790,1958 (65 yrs old),USA
Hospitality,McDonald's,789,1955 (68 yrs old),USA
Power,Suzlon Group,788,1995 (28 yrs old),China
NBFC,Muthoot Group,787,1887 (136 yrs old),Canada
BPO,Conduent,786,2017 (6 yrs old),South Korea
IT Services & Consulting,Wipro Enterprises Ltd,785,1945 (78 yrs old),Hong Kong
Financial Services,Standard Chartered Bank,784,1969 (54 yrs old),USA
Recruitment,Team Lease,783,2016 (7 yrs old),USA
Financial Services,Standard Chartered Bank,781,1969 (54 yrs old),USA
Software Product,24/7 Customer,782,2000 (23 yrs old),USA
Logistics,Maersk,779,1904 (119 yrs old),Mexico
Retail,Vishal Mega Mart,780,2008 (15 yrs old),China
IT Services & Consulting,KocharTech,806,1995 (28 yrs old),USA
Logistics,Ekart Logistics,778,2009 (14 yrs old),Japan
Auto Components,MRF Tyres,848,1946 (77 yrs old),Luxembourg
Consumer Electronics & Appliances,Bajaj Electricals,900,1938 (85 yrs old),USA
Other,Titan Company,899,2018 (5 yrs old),China
Telecom,Lava International,898,2009 (14 yrs old),USA
IT Services & Consulting,Publicis Sapient,897,1990 (33 yrs old),Japan
Banking,Bank of America,894,1998 (25 yrs old),South Korea
Auto Components,Ceat Tyres,892,1958 (65 yrs old),USA
IT Services & Consulting,Huawei Technologies,895,2002 (21 yrs old),USA
Insurance,Tata AIA Life Insurance,893,2001 (22 yrs old),Japan
Iron & Steel,Jindal Steel and Power,891,1952 (71 yrs old),UK
FMCG,RSPL Group,896,1987 (36 yrs old),Canada
Pharma,Torrent Pharmaceuticals,889,1971 (52 yrs old),USA
IT Services & Consulting,ITC Infotech India,887,2000 (23 yrs old),Singapore
Insurance,PNB MetLife,888,2001 (22 yrs old),South Korea
Automobile,Tractors and Farm Equipment,890,1960 (63 yrs old),India
Banking,RBL Bank,886,1943 (80 yrs old),Ireland
Building Material,ACC,884,1936 (87 yrs old),UK
Financial Services,State Street Syntel,882,2004 (19 yrs old),Denmark
Biotechnology,Biocon Biologics India,885,1978 (45 yrs old),USA
BPO/KPO,Capita,883,2005 (18 yrs old),Brazil
Logistics,IndiGo,880,2005 (18 yrs old),Canada
Banking,Utkarsh Small Finance Bank,879,2009 (14 yrs old),USA
Chemicals,Berger Paints,878,1923 (100 yrs old),USA
Retail,Future Retail,881,1987 (36 yrs old),Sweden
Insurance,Kotak Mahindara Life Insurance,914,2001 (22 yrs old),USA
Chemicals,Aarti Industries,913,1975 (48 yrs old),Japan
Insurance,HDFC Ergo General Insurance,978,2002 (21 yrs old),South Africa
FMCG,Dabur,1000,1884 (139 yrs old),India
BPO,Cogent E Services,999,2004 (19 yrs old),China
BPO,GeBBS Healthcare Solutions,998,2005 (18 yrs old),France
Auto Components,Apollo Tyres,997,1972 (51 yrs old),Switzerland
IT Services & Consulting,Persistent Systems,995,1990 (33 yrs old),USA
Software Product,KPIT Technologies,996,1990 (33 yrs old),Canada
Building Material,JK Cement,994,1974 (49 yrs old),USA
Accounting & Auditing,R1 RCM,993,2003 (20 yrs old),USA
FMCG,Patanjali Ayurved,992,2006 (17 yrs old),Brazil
Engineering & Construction,Dilip Buildcon,991,1987 (36 yrs old),USA
Electronics Manufacturing,Flex,989,1969 (54 yrs old),USA
FinTech,PolicyBazaar,988,2008 (15 yrs old),USA
Internet,Rivigo,990,2014 (9 yrs old),USA
Retail,Reliance Digital,987,2007 (16 yrs old),Israel
Telecom,Tata Teleservices,986,1996 (27 yrs old),Canada
Internet,Ola Cabs,985,2010 (13 yrs old),USA
IT Services & Consulting,Access Healthcare,984,2011 (12 yrs old),USA
Insurance,Tata AIG,983,2000 (23 yrs old),USA
EdTech,Aakash Educational Services,981,1988 (35 yrs old),Denmark
Real Estate,AFCONS Infrastructure,980,1959 (64 yrs old),India
Consumer Electronics & Appliances,Eureka Forbes,982,1982 (41 yrs old),Poland
Logistics,Blue Dart Express,977,1983 (40 yrs old),Sweden
Hospitality,Radisson Hotels,979,1909 (114 yrs old),USA
Retail,Landmark Group,976,1973 (50 yrs old),Canada
Healthcare,Paras Hospital,1014,2006 (17 yrs old),Switzerland
Engineering & Construction,JMC Projects,1077,1982 (41 yrs old),USA
Automobile,Escorts Group,1078,1960 (63 yrs old),Sweden
Pharma,Mankind Pharma,1099,1995 (28 yrs old),USA
Healthcare,Legato Health Technologies,1100,2017 (6 yrs old),Chile
Food Processing,Nestle,1097,1959 (64 yrs old),USA
Retail,Lifestyle,1098,1999 (24 yrs old),Taiwan
Healthcare,Max Healthcare,1096,2001 (22 yrs old),USA
IT Services & Consulting,Synechron,1095,2001 (22 yrs old),Finland
BPO,Statestreet HCL Services,1094,2012 (11 yrs old),France
Recruitment,I Process Services,1093,2005 (18 yrs old),Japan
IT Services & Consulting,Birlasoft,1091,1995 (28 yrs old),USA
Financial Services,Fiserv,1090,1984 (39 yrs old),Mexico
Financial Services,G4S,1092,1996 (27 yrs old),Russia
Consumer Electronics & Appliances,Voltas,1089,1954 (69 yrs old),USA
IT Services & Consulting,Zensar Technologies,1088,2001 (22 yrs old),USA
Insurance,Birla Sun Life Insurance,1087,2000 (23 yrs old),India
Agro Chemicals,United Phosphorus,1086,1969 (54 yrs old),South Korea
Pharma,Pfizer,1085,2004 (19 yrs old),Belgium
Software Product,AGS Health,1084,2011 (12 yrs old),Ireland
Retail,Walmart,1083,2009 (14 yrs old),South Korea
Other,Lenskart,1080,2010 (13 yrs old),Taiwan
Insurance,Life Insurance Corporation of India,1079,1956 (67 yrs old),USA
IT Services & Consulting,HCL Infosystems,1081,1976 (47 yrs old),USA
Metals & Mining,Aditya Birla Group,1082,1857 (166 yrs old),Russia
Financial Services,HDFC Sales,1076,2004 (19 yrs old),Taiwan
BPO,Reliance SMSL,1075,2007 (16 yrs old),USA
Education & Training,Delhi Public School,1105,1998 (25 yrs old),India
IT Services & Consulting,Tata Technologies,1104,1989 (34 yrs old),USA
Telecom,ACT Fibernet,1074,2000 (23 yrs old),USA
Pharma,Micro Labs,1153,1973 (50 yrs old),USA
,Samsung Electronics,1200,,USA
,Samsung Electronics,1199,,USA
Logistics,TVS Supply Chain Solutions,1198,1896 (127 yrs old),Spain
Pharma,Ajanta Pharma,1197,1973 (50 yrs old),India
EdTech,Extramarks Education,1196,2007 (16 yrs old),USA
Auto Components,Exide Industries,1195,1947 (76 yrs old),USA
Food Processing,PepsiCo,1194,1989 (34 yrs old),South Africa
Insurance,Cholamandalam MS General Insurance,1192,2001 (22 yrs old),Thailand
Financial Services,Bajaj Allianz General Insurance Company Ltd,1191,,Japan
Financial Services,Societe Generale,1193,2000 (23 yrs old),Norway
BPO,R.R. Donnelley,1189,1864 (159 yrs old),Russia
Electrical Equipment,BHEL,1188,1964 (59 yrs old),Hong Kong
Food Processing,Britannia,1190,1892 (131 yrs old),USA
Consumer Electronics & Appliances,Blue Star,1186,1943 (80 yrs old),USA
Metals & Mining,Kalyan Jewellers,1187,1993 (30 yrs old),Indonesia
Financial Services,Mahindra Rural Housing Finance,1185,2007 (16 yrs old),USA
Pharma,The Himalaya Drug Company,1182,1930 (93 yrs old),Japan
Automobile,Renault-Nissan,1184,2007 (16 yrs old),India
Pharma,Emcure Pharmaceuticals,1181,1981 (42 yrs old),USA
Hospitality,Mahindra Holidays & Resorts,1183,1996 (27 yrs old),Mexico
Media & Entertainment,PVR Cinemas,1178,1997 (26 yrs old),Russia
Fashion & Textile,Raymond,1180,1925 (98 yrs old),BM
Logistics,BlackBuck,1179,2015 (8 yrs old),Australia
NBFC,Poonawalla Fincorp,1272,1988 (35 yrs old),USA
Building Material,Dalmia Bharat Cement,1271,1935 (88 yrs old),USA
IT Services & Consulting,IGT Solutions,1298,1998 (25 yrs old),USA
Automobile,Sonalika Tractors,1300,1969 (54 yrs old),UK
Financial Services,State Street Corporation,1296,1792 (231 yrs old),USA
Auto Components,Yazaki,1297,1941 (82 yrs old),USA
Auto Components,TVS Sundram Fasteners,1295,1966 (57 yrs old),Taiwan
Insurance,Exide Life Insurance,1299,2001 (22 yrs old),Germany
Real Estate,Sterling & Wilson,1294,1927 (96 yrs old),Bermuda
Building Material,Ambuja Cements,1293,1983 (40 yrs old),Australia
Auto Components,UNO Minda,1292,1958 (65 yrs old),USA
Food Processing,Parle Agro,1290,1984 (39 yrs old),USA
Electronics Manufacturing,CG Power and Industrial Solutions,1289,1937 (86 yrs old),Belgium
NBFC,TVS Credit,1291,2008 (15 yrs old),France
Building Material,Shree Cement,1286,1979 (44 yrs old),USA
EdTech,Exotic Learning,1288,2020 (3 yrs old),Germany
Import & Export,Shahi Exports,1287,1974 (49 yrs old),China
Retail,V-Mart,1285,2002 (21 yrs old),USA
Automobile,Force Motors,1283,1958 (65 yrs old),Hong Kong
IT Services & Consulting,Datamatics Global Services,1284,1975 (48 yrs old),UK
Auto Components,Brakes India,1281,1962 (61 yrs old),Australia
Telecom,Indus Towers,1282,2007 (16 yrs old),Germany
Other,Mahindra Logistics,1278,2000 (23 yrs old),USA
Building Material,Grasim Industries,1280,1947 (76 yrs old),China
Retail,Reliance Trends,1279,2006 (17 yrs old),USA
FMCG,DS Group,1303,1929 (94 yrs old),USA
Beverage,café Coffee day,1400,1996 (27 yrs old),USA
Financial Services,Shriram City,1399,1986 (37 yrs old),Germany
Consumer Electronics & Appliances,Whirlpool,1397,1911 (112 yrs old),Canada
Retail,Big Bazaar,1395,2001 (22 yrs old),USA
Defence & Aerospace,Indian Navy,1398,1950 (73 yrs old),India
IT Services & Consulting,NIIT Technologies,1394,2004 (19 yrs old),South Africa
Healthcare,IKS Health,1393,2007 (16 yrs old),USA
Logistics,ElasticRun,1391,2016 (7 yrs old),UK
Insurance,Bharti AXA Life Insurance,1396,2006 (17 yrs old),USA
Auto Components,Delphi TVS,1392,1989 (34 yrs old),Hong Kong
Hardware & Networking,Sterlite Technologies,1390,1988 (35 yrs old),USA
Retail,Myntra,1387,2007 (16 yrs old),South Korea
Logistics,XpressBees,1388,2015 (8 yrs old),USA
Automobile,Honda,1389,1985 (38 yrs old),Sweden
IT Services & Consulting,3i Infotech,1386,1993 (30 yrs old),Taiwan
Real Estate,Sobha,1383,1995 (28 yrs old),USA
Telecom,BT Group,1385,1846 (177 yrs old),Canada
Chemicals,Kansai Nerolac Paints,1384,1920 (103 yrs old),Switzerland
NBFC,Tata Motors Finance,1382,1957 (66 yrs old),USA
,ICICI Securities,1380,1995 (28 yrs old),Japan
NBFC,Indiabulls,1381,2000 (23 yrs old),Japan
Printing & Publishing,Thomson Reuters,1379,2008 (15 yrs old),Japan
Auto Components,JK Tyres,1378,1951 (72 yrs old),USA
IT Services & Consulting,Cybage,1376,1995 (28 yrs old),USA
Chemicals / Agri Inputs,SRF,1470,1970 (53 yrs old),Malaysia
Oil & Gas,Shell,1406,2004 (19 yrs old),Belgium
Oil & Gas,Bharat Petroleum,1377,1952 (71 yrs old),France
Insurance,Future Generali India Life Insurance,1500,2007 (16 yrs old),USA
Real Estate,Lodha group,1499,1980 (43 yrs old),Ireland
Iron & Steel,Bhushan Power & Steel,1498,1970 (53 yrs old),USA
IT Services & Consulting,Johnson Controls,1497,1995 (28 yrs old),South Korea
Auto Components,Endurance Technologies,1496,1985 (38 yrs old),France
Internet,Blinkit,1495,2013 (10 yrs old),France
Engineering & Construction,GE,1494,1892 (131 yrs old),Spain
Industrial Machinery,JCB,1493,1945 (78 yrs old),Hong Kong
Pharma,Wockhardt,1492,1999 (24 yrs old),Canada
Non-Profit,GVK Emergency Management and Research Institute,1491,2005 (18 yrs old),Norway
Retail,Crom?,1489,2006 (17 yrs old),Japan
Banking,Barclays,1490,1690 (333 yrs old),Ireland
Internet,Zomato,1488,2008 (15 yrs old),Sweden
Auto Components,Gabriel India,1487,1961 (62 yrs old),Hong Kong
IT Services & Consulting,CSS Corp,1486,1996 (27 yrs old),USA
Auto Components,Lucas-TVS,1485,1961 (62 yrs old),USA
Agriculture,Coromandel International,1483,1961 (62 yrs old),Japan
Power,Kalpataru Power Transmission,1484,1981 (42 yrs old),USA
Internet,Info Edge,1482,1995 (28 yrs old),Germany
Pharma,Cadila Pharmaceuticals,1480,1951 (72 yrs old),USA
Building Material,Saint-Gobain,1481,1665 (358 yrs old),USA
IT Services & Consulting,Coforge,1479,2004 (19 yrs old),China
IT Services & Consulting,Sopra Steria,1478,1968 (55 yrs old),China
Real Estate,Square Yards,1477,2013 (10 yrs old),Singapore
Accounting & Auditing,Bureau Veritas,1475,1828 (195 yrs old),Thailand
Engineering & Construction,Power Mech Projects,1476,2007 (16 yrs old),China
Food Processing,Parle Products,1511,1929 (94 yrs old),France
Insurance,AXA Business Services,1560,1995 (28 yrs old),USA
Pharma,Syngene International,1512,1993 (30 yrs old),USA
Financial Services,Tata Capital Financial Services,1600,2007 (16 yrs old),South Korea
IT Services & Consulting,BA Continuum,1561,2003 (20 yrs old),UK
Industrial Machinery,Sigma Electric Manufacturing Corporation,1599,1982 (41 yrs old),USA
IT Services & Consulting,ValueLabs,1598,1997 (26 yrs old),USA
IT Services & Consulting,RMSI,1597,1992 (31 yrs old),South Korea
Automobile,Yamaha Motor,1596,2007 (16 yrs old),USA
FMCG,Adani Wilmar,1593,1999 (24 yrs old),Germany
Defence & Aerospace,Hindustan Aeronautics,1595,1940 (83 yrs old),India
Automobile,Renault Nissan Technology & Business Centre India,1594,2007 (16 yrs old),Netherlands
Banking,IDBI Bank,1592,1964 (59 yrs old),Japan
Analytics & KPO,Karvy Data Management Services,1590,2008 (15 yrs old),Australia
Financial Services,Aavas Financiers,1591,2011 (12 yrs old),Ireland
Hospitality,Oberoi Group of Hotels,1588,1934 (89 yrs old),UK
Pharma,MSN Laboratories,1589,2003 (20 yrs old),Japan
IT Services & Consulting,MetLife,1587,2008 (15 yrs old),Belgium
Hospitality,Hyatt Regency,1586,1980 (43 yrs old),USA
Logistics,Ninjacart,1584,2015 (8 yrs old),Netherlands
Healthcare,Dr Lal PathLabs,1585,1949 (74 yrs old),Japan
Aviation,Jet Airways,1583,1993 (30 yrs old),India
Financial Services,Piramal Group,1582,1980 (43 yrs old),Turkey
Hardware & Networking,Cisco,1580,1984 (39 yrs old),Japan
IT Services & Consulting,S&P Global,1581,1917 (106 yrs old),Taiwan
Healthcare,Narayana Health,1699,2000 (23 yrs old),USA
IT Services & Consulting,Fujitsu,1698,1935 (88 yrs old),Thailand
IT Services & Consulting,SAP,1697,1972 (51 yrs old),South Africa
Media & Entertainment,Tata Play,1696,2006 (17 yrs old),Taiwan
IT Services & Consulting,CMS Infosystems,1700,2008 (15 yrs old),USA
Insurance,Canara HSBC Life Insurance,1695,2008 (15 yrs old),Sweden
Retail,Metro,1694,1964 (59 yrs old),Poland
Telecom,Sify Technologies,1693,1995 (28 yrs old),Singapore
Fashion & Textile,Vardhman Fabrics,1692,,USA
Hospitality,Taj Hotels Resorts and Palaces,1691,1903 (120 yrs old),Japan
Pharma,Akums Drugs & Pharmaceuticals,1690,2004 (19 yrs old),USA
Pharma,Aragen Life Sciences,1688,2000 (23 yrs old),Brazil
IT Services & Consulting,HERE Technologies,1686,1985 (38 yrs old),USA
